year,varietal,seed_type
2026,Toma Verde,Tomatillo Seed
2026,Sugar Snap,Snap Pea
2026,Oregon Giant,Snow Pea
2026,Sugar Ann,Snap Pea
2026,Red Ace,(F1) Beet Seed
2026,Rover,(F1) Radish Seed
2026,Lunchbox Red,Sweet Pepper
2026,Escamillo,Sweet Pepper
2026,Calypso,Cilantro Seed
2026,Redbor,(F1) Kale Seed
2026,Astro,Organic Arugula Seed
2026,Sophy,(F1) Zucchini Squash Seed
2026,Amethyst,Bush Bean
2026,Rocdor,Organic Bush Bean
2025,Gummy Bear,Sunflower Seed
2025,Summer Lovin,(F1) Sunflower Seed
2025,Forever Happy,Statice Seed
2025,Monstrosum Tall Mix,Strawflower Seed
2025,Angel Hair Spaghetti,Squash
2025,Delicata JS,Squash
2025,Sweet Jade Kabocha,Squash
2025,Royal Burgundy,Bush Bean
2025,Kalebration Kale Mix,Kale
2025,Corinto,Organic (F1) Cucumber Seed
2025,Sashimi,(F1) Cucumber Seed
2025,Hakurei,(F1) Turnip Seed
2025,Miyashige,Radish Seed
2025,Santo,Organic Cilantro Seed
2025,Cutting Celery,Organic Herb Seed
2025,Speckled Roman (Paster),Tomato
2025,San Marzano,Tomato
2025,Galahad (Slicer),Tomato
2025,Zebra Green,Tomato
2025,Tomatillo,Tomato
2025,TBD Early fruiting slicer from Cure,Tomato
2024,Cornito Arancia,Sweet Pepper
2024,Lunchbox Red,Sweet Pepper
2024,Jimmy Nardello,Sweet Pepper
2024,Mokum (Pelleted),Carrot
2024,Pantheon,Zucchini Squash
2024,Easter Egg II,Radish Seed
2024,Hakurei,(F1) Turnip Seed
2024,Albion,(F1) Parsnip Seed
2024,Bamako,Bush Bean
2024,Trilogy Mix,Bush Bean
2024,Redbor,(F1) Kale Seed
2024,Heart of Gold,Organic Chard Seed
2024,Angel Hair Spaghetti,Squash
2024,Delicata JS,Squash
2024,Sweet Jade Kabocha,Squash
2024,Cornito Arancia,Sweet Pepper
2024,Lunchbox Red,Sweet Pepper
2024,Jimmy Nardello,Sweet Pepper
2024,Speckled Roman (Paster),Tomato
2024,San Marzano,Tomato
2024,Galahad (Slicer),Tomato
2024,Zebra Green,Tomato
2024,Tomatillo,Tomatillo
2023,Red Ace,Beet
2023,Romance (Pelleted),Carrot
2023,Corinto,Cucumber
2023,Astro,Arugula
2023,Avalanche,Snow Pea
2023,Cornito Arancia,Sweet Pepper
2023,Lunchbox Red,Sweet Pepper
2023,Delicata JS,Squash
2023,Sweet Jade Kabocha,Squash
2023,Hakurei,Turnip
2023,Prospera DMR (CG1),Basil
2023,Common Chamomile,Chamomile
2023,Santo,Organic Cilantro Seed
2023,Giant of Italy,Organic Parsley Seed
2023,Speckled Roman (Paster),Tomato
2023,Galahad (Slicer),Tomato
2023,Roma,Tomato
2023,San Marzano,Tomato
2023,Bush,Tomato
2023,Zebra Green,Tomato
2023,Tomatillo,Tomatillo
2023,Green Buttercrunch,Lettuce
2023,Red Buttercrunch,Lettuce
2023,Salad Mix,Lettuce
2023,Hybrid Sweet,Sweet Pepper
2023,Jimmy Nardello,Sweet Pepper
2022,Hybrid Sweet,Sweet Pepper
2022,Jimmy Nardello,Sweet Pepper
2022,Speckled Roman (Paster),Tomato
2022,Roma,Tomato
2022,San Marzano,Tomato
2022,Bush,Tomato
2022,Zebra Green,Tomato
2022,Tomatillo,Tomatillo
2022,Green Buttercrunch,Lettuce
2022,Red Buttercrunch,Lettuce
2022,Salad Mix,Lettuce
2022,Spaghetti,Squash
2022,Delicata,Squash
2022,Golden Nugget,Squash
2022,Luffa,Squash
2019,Sungold Cherry,Tomato
2019,Nepal,Tomato
2019,Sweetie Cherry,Tomato
2019,Zebra Green,Tomato
2019,Speckled Roman (Paster),Tomato
2019,Brandywine,Tomato
2019,Delicata,Squash
2019,Butternut,Squash
2019,Dwarf Blue Curled,Kale
2019,Lemon,Cucumber
2019,Di Ciccio,Broccoli
2019,Costada Romanesco,Zucchini Squash
2019,Inchellum,Garlic
2019,Kilarney,Garlic
2019,Chesnock,Garlic
2019,Buckwheat,Covercrop
2019,Buttercrunch,Lettuce
2019,Mixed greens,Lettuce
2019,Adirondack red,Potatoes
2020,Armenian,Cucumber
2020,Lemon,Cucumber
2020,Pickling,Cucumber
2020,Woman Melon,Melon
2020,Sungold Cherry,Tomato
2020,Sweetie Cherry,Tomato
2020,Cherokee Purple,Tomato
2020,Bush,Tomato
2020,Zebra Green,Tomato
2020,Speckled Roman (Paster),Tomato
2020,Roma,Tomato
2020,Adirondack red,Potatoes
2020,Red Norland,Potatoes
2020,Pink Fingerling,Potatoes
2020,Yellow Fingerling,Potatoes
2020,Purple,Potatoes
2020,Red prairie,Potatoes
2020,Pantheon,Zucchini Squash
2020,Stella Blue,Squash
2020,Delicata,Squash
2020,Butternut,Squash
2020,Nectar,Carrot
2020,Tri-color,Carrot
2020,Golden,Beet
2020,Egyptian Walking,Onion
2020,Hakurei,Turnip
2020,Dwarf Blue Curled,Kale
2020,Rainbow,Chard
2020,Buttercrunch,Lettuce
2020,Chesnock,Garlic
2020,Inchellum,Garlic
2020,Kilarney,Garlic
2020,Jomanda,Dahlia
2020,Waltzing Matilda,Dahlia
2020,Black Beauty,Dahlia
2020,Pooh,Dahlia
2020,Leed Tea,Dahlia
2020,Amber Queen,Dahlia
2020,Chilson's Pride,Dahlia
2020,Crossfield Ebony,Dahlia
