year,bed_location,bed_name,plant_name,season,plant_category
2022,Lower,Two,Arugula,Spring,Leafy green vegetables
2023,Lower,Eight,Arugula,Spring,Leafy green vegetables
2024,Lower,Three,Arugula,Spring,Leafy green vegetables
2025,Lower,Eight,Arugula,Spring,Leafy green vegetables
2026,Upper,Apple Terrace 1,Arugula,Spring,Leafy green vegetables
2026,Upper,Apple Terrace 3,Arugula,Spring,Leafy green vegetables
2022,Lower,Six,Baby choi,Spring,Leafy green vegetables
2020,Upper,Apple Terrace 4,Bachelor buttons,Summer,Flowers
2023,Upper,Asparagus,Bachelor buttons,Summer,Flowers
2024,Upper,Apple Terrace 1,Bachelor buttons,Summer,Flowers
2024,Upper,Asparagus,Bachelor buttons,Summer,Flowers
2019,Lower,Two,Basil,Summer,Herbs
2020,Lower,Seven,Basil,Summer,Herbs
2020,Lower,Two,Basil,Summer,Herbs
2022,Lower,Eight,Basil,Summer,Herbs
2023,Lower,Four,Basil,Summer,Herbs
2023,Lower,Sunflower,Basil,Summer,Herbs
2024,Lower,Six,Basil,Summer,Herbs
2024,Upper,Apple Terrace 2,Basil,Summer,Herbs
2025,Lower,Two,Basil,Summer,Herbs
2026,Lower,Three,Basil,Summer,Herbs
2020,Lower,Two,Beets,All season,Root vegetables
2022,Lower,Eight,Beets,All season,Root vegetables
2022,Lower,Four,Beets,Summer,Root vegetables
2022,Lower,Sunflower,Beets,Spring,Root vegetables
2023,Lower,Seven,Beets,All season,Root vegetables
2024,Lower,Two,Beets,All season,Root vegetables
2025,Lower,Three,Beets,Spring,Root vegetables
2026,Lower,One,Beets,Summer,Root vegetables
2020,Lower,Sunflower,Borage,Summer,Herbs
2020,Upper,Apple Terrace 4,Borage,Summer,Herbs
2019,Lower,Six,Broccoli,Summer,Vegetables
2019,Upper,Apple Terrace 1,Broccoli,Summer,Vegetables
2019,Lower,Sunflower,Buckwheat,Fall,Covercrop
2026,Lower,Three,Buckwheat,Spring,Cover crop
2019,Upper,Apple Terrace 2,Bush beans,Summer,Vegetables
2020,Upper,Apple Terrace 3,Bush beans,Summer,Vegetables
2022,Upper,Apple Terrace 2,Bush beans,Summer,Vegetables
2022,Upper,Apple Terrace 4,Bush beans,Summer,Vegetables
2023,Upper,Apple Terrace 2,Bush beans,Summer,Vegetables
2023,Upper,Apple Terrace 4,Bush beans,Summer,Vegetables
2024,Lower,Five,Bush beans,Summer,Vegetables
2024,Lower,Seven,Bush beans,Summer,Vegetables
2025,Upper,Apple Terrace 2,Bush beans,Summer,Vegetables
2025,Upper,Apple Terrace 4,Bush beans,Summer,Vegetables
2026,Upper,Apple Terrace 2,Bush beans,Summer,Vegetables
2026,Upper,Apple Terrace 4,Bush beans,Summer,Vegetables
2019,Lower,Four,Butternut,Summer,Winter squash
2020,Lower,One,Butternut,Summer,Winter squash
2020,Upper,Apple Terrace 3,Butternut,Summer,Winter squash
2019,Upper,Apple Terrace 1,Calendula,Summer,Herbs
2020,Lower,Sunflower,Calendula,Summer,Herbs
2022,Lower,Sunflower,Calendula,Summer,Herbs
2023,Lower,Sunflower,Calendula,Summer,Herbs
2024,Lower,Sunflower,Calendula,Summer,Herbs
2025,Lower,Sunflower,Calendula,Summer,Herbs
2026,Lower,Sunflower,Calendula,Summer,Herbs
2019,Lower,Eight,Carrots,Summer,Root vegetables
2019,Upper,Apple Terrace 2,Carrots,Summer,Root vegetables
2020,Lower,Eight,Carrots,Summer,Root vegetables
2020,Lower,Two,Carrots,Summer,Root vegetables
2022,Lower,Eight,Carrots,All season,Root vegetables
2022,Lower,Five,Carrots,Summer,Root vegetables
2022,Lower,Four,Carrots,Summer,Root vegetables
2022,Lower,Sunflower,Carrots,Spring,Root vegetables
2023,Lower,Seven,Carrots,All season,Root vegetables
2024,Lower,Two,Carrots,All season,Root vegetables
2025,Lower,Three,Carrots,Summer,Root vegetables
2026,Lower,One,Carrots,All season,Root vegetables
2022,Upper,Apple Terrace 3,Celery,Summer,Vegetables
2026,Upper,Strawberry,Chamomile,Summer,Herbs
2019,Lower,Five,Chard,Summer,Leafy green vegetables
2020,Lower,Eight,Chard,Summer,Leafy green vegetables
2020,Lower,Five,Chard,Summer,Leafy green vegetables
2022,Lower,Three,Chard,All season,Leafy green vegetables
2023,Lower,Four,Chard,All season,Leafy green vegetables
2024,Lower,One,Chard,All season,Leafy green vegetables
2025,Lower,Four,Chard,All season,Leafy green vegetables
2026,Lower,Four,Chard,All season,Leafy green vegetables
2022,Lower,Five,Cilantro,Summer,Herbs
2023,Lower,One,Cilantro,Summer,Herbs
2024,Upper,Apple Terrace 2,Cilantro,Summer,Herbs
2025,Lower,Four,Cilantro,All season,Herbs
2026,Upper,Strawberry,Cilantro,Summer,Herbs
2019,Lower,Five,Collard greens,Summer,Leafy green vegetables
2019,Lower,Six,Cucumber,Summer,Vegetables
2020,Lower,Five,Cucumber,Summer,Vegetables
2022,Lower,Sunflower,Cucumber,Summer,Vegetables
2023,Lower,Sunflower,Cucumber,Summer,Vegetables
2024,Lower,Three,Cucumber,Summer,Vegetables
2025,Lower,Eight,Cucumber,Summer,Vegetables
2026,Lower,Five,Cucumber,Summer,Vegetables
2026,Lower,Six,Cucumber,Summer,Vegetables
2020,Lower,Sunflower,Dahlia ,Summer,Flowers
2024,Lower,Five,Dahlia ,Summer,Flowers
2024,Lower,Seven,Dahlia ,Summer,Flowers
2025,Lower,Seven,Dahlia ,Summer,Flowers
2026,Lower,Eight,Dahlia ,Summer,Flowers
2026,Lower,Five,Dahlia ,Summer,Flowers
2026,Lower,Seven,Dahlia ,Summer,Flowers
2026,Lower,Six,Dahlia ,Summer,Flowers
2023,Lower,Sunflower,Daikon,Summer,Root vegetables
2024,Lower,Eight,Daikon,Summer,Root vegetables
2019,Lower,Three,Delicata,Summer,Winter squash
2020,Lower,One,Delicata,Summer,Winter squash
2020,Upper,Apple Terrace 2,Delicata,Summer,Winter squash
2022,Lower,Six,Delicata,Summer,Winter squash
2023,Lower,Sunflower,Delicata,Summer,Winter squash
2024,Upper,Apple Terrace 1,Delicata,Summer,Winter squash
2024,Upper,Apple Terrace 3,Delicata,Summer,Winter squash
2025,Upper,Apple Terrace 3,Delicata,Summer,Winter squash
2026,Upper,Apple Terrace 3,Delicata,Summer,Winter squash
2020,Lower,Seven,Dill,Summer,Herbs
2020,Lower,Sunflower,Dill,Summer,Herbs
2022,Lower,Eight,Egyptian walking onions,Summer,Alliums
2022,Lower,Four,Egyptian walking onions,All season,Alliums
2023,Lower,Two,Egyptian walking onions,Spring,Alliums
2024,Lower,One,Fennel bulb,Summer,Vegetables
2022,Lower,Six,Fennel herb,Summer,Herbs
2020,Lower,One,Garlic,Spring,Alliums
2020,Lower,Six,Garlic,Spring,Alliums
2022,Lower,Five,Garlic,Spring,Alliums
2023,Lower,One,Garlic,Spring,Alliums
2024,Lower,Eight,Garlic,Spring,Alliums
2025,Lower,Six,Garlic,Spring,Alliums
2026,Lower,Four,Garlic,Spring,Alliums
2022,Lower,Six,Golden nugget,Summer,Winter squash
2022,Lower,Sunflower,Golden nugget,Summer,Winter squash
2019,Lower,Seven,Hyssop,Summer,Herbs
2024,Upper,Apple Terrace 1,Kabocha,Summer,Winter squash
2024,Upper,Apple Terrace 3,Kabocha,Summer,Winter squash
2025,Upper,Apple Terrace 3,Kabocha,Summer,Winter squash
2019,Lower,Five,Kale,Summer,Leafy green vegetables
2020,Lower,Eight,Kale,Summer,Leafy green vegetables
2022,Lower,Three,Kale,All season,Leafy green vegetables
2023,Lower,Four,Kale,All season,Leafy green vegetables
2024,Lower,One,Kale,All season,Leafy green vegetables
2025,Lower,Four,Kale,All season,Leafy green vegetables
2026,Lower,Four,Kale,All season,Leafy green vegetables
2025,Lower,Six,Leeks,Spring,Alliums
2019,Lower,Seven,Lettuce,Summer,Leafy green vegetables
2019,Upper,Apple Terrace 4,Lettuce,Summer,Leafy green vegetables
2020,Lower,Five,Lettuce,Summer,Leafy green vegetables
2020,Lower,One,Lettuce,Summer,Leafy green vegetables
2022,Lower,Seven,Lettuce,Spring,Leafy green vegetables
2022,Upper,Apple Terrace 1,Lettuce,Summer,Leafy green vegetables
2023,Lower,Two,Lettuce,Spring,Leafy green vegetables
2023,Upper,Apple Terrace 1,Lettuce,Spring,Leafy green vegetables
2023,Upper,Apple Terrace 2,Lettuce,Summer,Leafy green vegetables
2023,Upper,Apple Terrace 4,Lettuce,Spring,Leafy green vegetables
2024,Upper,Apple Terrace 4,Lettuce,Spring,Leafy green vegetables
2025,Lower,Six,Lettuce,Summer,Leafy green vegetables
2025,Upper,Apple Terrace 2,Lettuce,Spring,Leafy green vegetables
2025,Upper,Asparagus,Lisianthus,Summer,Flowers
2026,Upper,Strawberry,Lisianthus,Summer,Flowers
2026,Lower,Eight,Lobelia,Summer,Flowers
2026,Lower,Five,Lobelia,Summer,Flowers
2026,Lower,Seven,Lobelia,Summer,Flowers
2026,Lower,Six,Lobelia,Summer,Flowers
2025,Lower,Four,Lobelia,Summer,Flowers
2025,Lower,Eight,Lobelia,Summer,Flowers
2025,Lower,Seven,Lobelia,Summer,Flowers
2024,Lower,Five,Lobelia,Summer,Flowers
2024,Lower,Seven,Lobelia,Summer,Flowers
2022,Upper,Asparagus,Luffa,Summer,Flowers
2023,Upper,Asparagus,Luffa,Summer,Flowers
2020,Lower,One,Melon,Summer,Fruit
2019,Lower,Four,Nasturtium,Summer,Herbs
2019,Lower,Three,Nasturtium,Summer,Herbs
2020,Lower,Sunflower,Nasturtium,Summer,Herbs
2020,Lower,Four,Onions,Summer,Alliums
2020,Lower,Six,Onions,Summer,Alliums
2019,Upper,Apple Terrace 1,Oregano,Summer,Herbs
2020,Lower,Four,Parsley,Summer,Herbs
2022,Lower,Three,Parsley,All season,Herbs
2023,Lower,Three,Parsley,Summer,Herbs
2024,Upper,Apple Terrace 2,Parsley,Summer,Herbs
2025,Lower,Three,Parsley,All season,Herbs
2026,Lower,One,Parsley,Summer,Herbs
2019,Lower,Eight,Parsnips,Summer,Root vegetables
2020,Lower,Three,Parsnips,Summer,Root vegetables
2022,Lower,Eight,Parsnips,All season,Root vegetables
2022,Lower,Four,Parsnips,Summer,Root vegetables
2022,Lower,Sunflower,Parsnips,Spring,Root vegetables
2023,Lower,Seven,Parsnips,All season,Root vegetables
2024,Lower,Two,Parsnips,All season,Root vegetables
2025,Lower,Three,Parsnips,Spring,Root vegetables
2026,Lower,One,Parsnips,All season,Root vegetables
2020,Lower,Three,Sweet peppers,Summer,Vegetables
2022,Lower,Four,Sweet peppers,Summer,Vegetables
2023,Lower,Three,Sweet peppers,Summer,Vegetables
2024,Lower,Six,Sweet peppers,Summer,Vegetables
2025,Lower,Two,Sweet peppers,Summer,Vegetables
2026,Lower,Three,Sweet peppers,Summer,Vegetables
2019,Lower,Sunflower,Pole beans,Summer,Vegetables
2019,Upper,Apple Terrace 3,Potatoes,Summer,Root vegetables
2020,Upper,Apple Terrace 3,Potatoes,Summer,Root vegetables
2022,Upper,Apple Terrace 2,Potatoes,Spring,Root vegetables
2022,Upper,Apple Terrace 4,Potatoes,Spring,Root vegetables
2022,Lower,Five,Radish,Summer,Root vegetables
2023,Lower,Five,Radish,Spring,Root vegetables
2024,Lower,Four,Radish,Spring,Root vegetables
2025,Lower,One,Radish,Spring,Root vegetables
2026,Lower,Two,Radish,Spring,Root vegetables
2026,Upper,Strawberry,Rosemary,Summer,Herbs
2023,Lower,Seven,Scallion,All season,Alliums
2019,Lower,Seven,Shallots,Summer,Alliums
2020,Upper,Apple Terrace 4,Shallots,Summer,Alliums
2022,Lower,Sunflower,Shallots,Summer,Alliums
2023,Lower,One,Shallots,Spring,Alliums
2024,Lower,Eight,Shallots,Spring,Alliums
2025,Lower,Six,Shallots,Spring,Alliums
2019,Lower,One,Snap peas,Summer,Vegetables
2020,Lower,Four,Snap peas,Summer,Vegetables
2022,Lower,Sunflower,Snap peas,Spring,Vegetables
2022,Upper,Apple Terrace 3,Snap peas,Spring,Vegetables
2023,Upper,Apple Terrace 3,Snap peas,Spring,Vegetables
2024,Lower,Seven,Snap peas,Spring,Vegetables
2025,Upper,Apple Terrace 3,Snap peas,Spring,Vegetables
2026,Lower,Two,Snap peas,Spring,Vegetables
2022,Upper,Apple Terrace 1,Snow peas,Spring,Vegetables
2023,Upper,Apple Terrace 1,Snow peas,Spring,Vegetables
2024,Lower,Five,Snow peas,Spring,Vegetables
2025,Upper,Apple Terrace 1,Snow peas,Spring,Vegetables
2026,Lower,One,Snow peas,Spring,Vegetables
2022,Lower,Six,Spaghetti,Summer,Winter squash
2023,Lower,Two,Spaghetti,Summer,Winter squash
2024,Upper,Apple Terrace 1,Spaghetti,Summer,Winter squash
2024,Upper,Apple Terrace 3,Spaghetti,Summer,Winter squash
2025,Upper,Apple Terrace 3,Spaghetti,Summer,Winter squash
2026,Upper,Apple Terrace 3,Spaghetti,Summer,Winter squash
2019,Lower,One,Spinach,Summer,Leafy green vegetables
2020,Lower,Six,Spinach,Summer,Leafy green vegetables
2020,Lower,Three,Spinach,Summer,Leafy green vegetables
2022,Lower,Two,Spinach,Spring,Leafy green vegetables
2023,Lower,Eight,Spinach,Spring,Leafy green vegetables
2026,Upper,Apple Terrace 1,Spinach,Spring,Leafy green vegetables
2026,Upper,Apple Terrace 3,Spinach,Spring,Leafy green vegetables
2024,Lower,Three,Spinach mustard,Spring,Leafy green vegetables
2025,Lower,Eight,Spinach mustard,Spring,Leafy green vegetables
2025,Upper,Asparagus,Star flower,Summer,Flowers
2026,Upper,Strawberry,Star flower,Summer,Flowers
2025,Lower,Eight,Statice,Summer,Flowers
2026,Lower,Eight,Statice,Summer,Flowers
2026,Lower,Five,Statice,Summer,Flowers
2026,Lower,Seven,Statice,Summer,Flowers
2026,Lower,Six,Statice,Summer,Flowers
2020,Lower,One,Kabocha,Summer,Winter squash
2020,Lower,Sunflower,Kabocha,Summer,Winter squash
2020,Upper,Apple Terrace 4,Kabocha,Summer,Winter squash
2019,Upper,Strawberry,Strawberries,All season,Fruit
2020,Upper,Strawberry,Strawberries,All season,Fruit
2022,Upper,Strawberry,Strawberries,All season,Fruit
2023,Upper,Strawberry,Strawberries,All season,Fruit
2024,Upper,Strawberry,Strawberries,All season,Fruit
2025,Upper,Strawberry,Strawberries,All season,Fruit
2023,Upper,Asparagus,Strawflower,Summer,Flowers
2025,Lower,Eight,Strawflower,Summer,Flowers
2026,Upper,Strawberry,Strawflower,Summer,Flowers
2019,Upper,Apple Terrace 1,Summer savory,Summer,Herbs
2019,Lower,Sunflower,Sunflowers,Summer,Flowers
2023,Upper,Asparagus,Sunflowers,Summer,Flowers
2024,Upper,Asparagus,Sunflowers,Summer,Flowers
2025,Lower,Sunflower,Sunflowers,Summer,Flowers
2025,Upper,Apple Terrace 2,Sunflowers,Summer,Flowers
2026,Upper,Asparagus,Sunflowers,Summer,Flowers
2019,Lower,Three,Tatsoi,Summer,Leafy green vegetables
2020,Lower,Four,Tatsoi,Summer,Leafy green vegetables
2020,Lower,Six,Tatsoi,Summer,Leafy green vegetables
2022,Lower,One,Tatsoi,Spring,Leafy green vegetables
2023,Lower,Six,Tatsoi,Spring,Leafy green vegetables
2024,Lower,Eight,Tatsoi,Summer,Leafy green vegetables
2025,Lower,Six,Tatsoi,Summer,Leafy green vegetables
2026,Lower,Four,Tatsoi,Summer,Leafy green vegetables
2019,Lower,Sunflower,Tomatoes,Summer,Vegetables
2019,Lower,Two,Tomatoes,Summer,Vegetables
2019,Upper,Apple Terrace 4,Tomatoes,Summer,Vegetables
2020,Lower,Seven,Tomatoes,Summer,Vegetables
2020,Lower,Sunflower,Tomatoes,Summer,Vegetables
2020,Upper,Apple Terrace 2,Tomatoes,Summer,Vegetables
2022,Lower,One,Tomatoes,Summer,Vegetables
2022,Lower,Seven,Tomatoes,Summer,Vegetables
2022,Lower,Two,Tomatoes,Summer,Vegetables
2023,Lower,Eight,Tomatoes,Summer,Vegetables
2023,Lower,Five,Tomatoes,Summer,Vegetables
2023,Lower,Six,Tomatoes,Summer,Vegetables
